id,word,type,label
543,miss,O,20
544,being,O,20
545,able,O,20
546,to,O,20
547,run,O,20
548,and,O,20
549,dance,O,20
550,around,O,20
551,all,O,20
552,day,O,20
553,instead,O,20
554,of,O,20
555,having,O,20
556,to,O,20
557,catch,O,20
558,my,O,20
559,breath,O,20
560,every,O,20
561,five,O,20
562,minutes,O,20
563,of,O,20
564,my,O,20
565,life,O,20
566,.,O,20

567,@SnoopDogg,O,20
568,hey,O,20
569,snoop,B-person,6
570,my,O,20
571,wife,O,20
572,Cath,O,20
573,is,O,20
574,30,O,20
575,today,O,20
576,",",O,20
577,any,O,20
578,chance,O,20
579,of,O,20
580,a,O,20
581,shout,O,20
582,out,O,20
583,to,O,20
584,her,O,20
585,",",O,20

586,Today,O,20
587,I,O,20
588,got,O,20
589,a,O,20
590,promotion,O,20
591,at,O,20
592,work,O,20
593,",",O,20
594,and,O,20
595,tomorrow,O,20
596,I,O,20
597,'m,O,20
598,going,O,20
599,home,O,20
600,to,O,20
601,Wisconsin,B-geo-loc,2
602,for,O,20
603,a,O,20
604,few,O,20
605,days,O,20
606,.,O,20
607,So,O,20
608,content,O,20
609,with,O,20
610,life,O,20
611,right,O,20
612,now,O,20
613,.,O,20
614,:),O,20

615,TWEET,O,20
616,!,O,20
617,@stjosephs,O,20
618,Empls,O,20
619,of,O,20
620,the,O,20
621,Month,O,20
622,:,O,20
623,Deborah,B-person,6
624,L,I-person,16
625,#Speech,O,20
626,#Pathologist-Childrens,O,20
627,Rehab,O,20
628,and,O,20
629,Patricia,B-person,6
630,M,I-person,16
631,#Referral/#Auth,O,20
632,#Spec-#Womens,O,20
633,#Care,O,20
634,!,O,20

635,RT,O,20
636,@LilTwist,O,20
637,:,O,20
638,RT,O,20
639,this,O,20
640,if,O,20
641,you,O,20
642,want,O,20
643,me,O,20
644,to,O,20
645,go,O,20
646,back,O,20
647,live,O,20
648,on,O,20
649,Ustream,B-company,0
650,later,O,20
651,tonight,O,20

652,Really,O,20
653,hope,O,20
654,I,O,20
655,can,O,20
656,get,O,20
657,to,O,20
658,@glasgowfilm,O,20
659,for,O,20
660,Winter,B-movie,3
661,'s,I-movie,13
662,Bone,I-movie,13
663,-,O,20
664,need,O,20
665,to,O,20
666,get,O,20
667,on,O,20
668,with,O,20
669,job,O,20
670,applications,O,20
671,tonight,O,20
672,then,O,20
673,!,O,20
674,Trailer,O,20
675,:,O,20
676,http://bit.ly/bhUlum,O,20

677,RT,O,20
678,@WeSpazForJB,O,20
679,:,O,20
680,http://twitpic.com/2nn4ee,O,20
681,&lt;,O,20
682,----,O,20
683,still,O,20
684,the,O,20
685,funniest,O,20
686,photo,O,20
687,.,O,20
688,of,O,20
689,all,O,20
690,time,O,20
691,.,O,20
692,ALL,O,20
693,TIME,O,20
694,.,O,20

695,I,O,20
696,have,O,20
697,eaten,O,20
698,a,O,20
699,large,O,20
700,quantity,O,20
701,of,O,20
702,oranges,O,20
703,this,O,20
704,week,O,20
705,...,O,20

706,Bonfire,O,20
707,tonite,O,20
708,.,O,20
709,All,O,20
710,are,O,20
711,welcome,O,20
712,",",O,20
713,joe,B-person,6
714,included,O,20

715,@KFSH,O,20
716,totally,O,20
717,!,O,20
718,I,O,20
719,can,O,20
720,go,O,20
721,a,O,20
722,week,O,20
723,w/o,O,20
724,tv,O,20
725,",",O,20
726,phones,O,20
727,or,O,20
728,a,O,20
729,computer,O,20
730,.,O,20
731,I,O,20
732,get,O,20
733,some,O,20
734,time,O,20
735,to,O,20
736,myself,O,20
737,and,O,20
738,God,B-person,6
739,.,O,20
740,Brings,O,20
741,peace,O,20
742,into,O,20
743,my,O,20
744,life,O,20
745,.,O,20

746,i,O,20
747,want,O,20
748,a,O,20
749,bath,O,20
750,but,O,20
751,do,O,20
752,n't,O,20
753,have,O,20
754,a,O,20
755,bath,O,20
756,",",O,20
757,shut,O,20
758,up,O,20
759,",",O,20
760,sam,B-person,6
761,'s,O,20
762,coming,O,20
763,tomorrow,O,20
764,and,O,20
765,steve,B-person,6
766,and,O,20
767,tanya,B-person,6
768,will,O,20
769,be,O,20
770,round,O,20
771,at,O,20
772,10am,O,20
773,so,O,20
774,go,O,20
775,away,O,20
776,you,O,20
777,mean,O,20
778,people,O,20

779,What,O,20
780,Do,O,20
781,S.F.,B-geo-loc,2
782,Rabbis,O,20
783,Eat,O,20
784,Before,O,20
785,and,O,20
786,After,O,20
787,Yom,B-other,5
788,Kippur,I-other,15
789,?,O,20
790,We,O,20
791,Asked,O,20
792,Five,O,20
793,to,O,20
794,Enlighten,O,20
795,Us,O,20
796,!,O,20
797,via,O,20
798,@SFoodie,O,20
799,http://bit.ly/aQrFUz,O,20

800,Not,O,20
801,only,O,20
802,is,O,20
803,it,O,20
804,#BattlestarGalactica,B-tvshow,9
805,'s,O,20
806,32nd,O,20
807,Anniversary,O,20
808,",",O,20
809,tonite,O,20
810,is,O,20
811,the,O,20
812,3rd,O,20
813,season,O,20
814,premiere,O,20
815,of,O,20
816,#StarWars,B-tvshow,9
817,#TheCloneWars,I-tvshow,19
818,!!,O,20

819,just,O,20
820,about,O,20
821,off,O,20
822,work,O,20
823,!,O,20
824,going,O,20
825,to,O,20
826,alderwood,B-geo-loc,2
827,again,O,20
828,:),O,20
829,yay,O,20
830,.,O,20
831,hopefully,O,20
832,we,O,20
833,got,O,20
834,cody,B-person,6
835,'s,O,20
836,ipod,B-product,7
837,in,O,20
838,the,O,20
839,mail,O,20
840,today,O,20
841,.,O,20

842,RT,O,20
843,@Slijterijmeisje,O,20
844,:,O,20
845,Kreeg,O,20
846,net,O,20
847,een,O,20
848,bruikbare,O,20
849,tip,O,20
850,van,O,20
851,iemand,O,20
852,die,O,20
853,vorige,O,20
854,week,O,20
855,was,O,20
856,begonnen,O,20
857,met,O,20
858,een,O,20
859,whiskydieet,O,20
860,",",O,20
861,hij,O,20
862,was,O,20
863,nu,O,20
864,al,O,20
865,3,O,20
866,dagen,O,20
867,kwijt,O,20

868,Its,O,20
869,stupid,O,20
870,I,O,20
871,hate,O,20
872,getn,O,20
873,a,O,20
874,attitude,O,20
875,from,O,20
876,ppl,O,20
877,when,O,20
878,I,O,20
879,'m,O,20
880,jus,O,20
881,tryna,O,20
882,be,O,20
883,nice,O,20
884,n,O,20
885,shit,O,20
886,.,O,20
887,WTF,O,20
888,now,O,20
889,I,O,20
890,'m,O,20
891,mad,O,20
892,so,O,20
893,dnt,O,20
894,talk,O,20
895,to,O,20
896,me,O,20
897,right,O,20
898,now,O,20

899,RT,O,20
900,@DamnTeenQuotes,O,20
901,:,O,20
902,I,O,20
903,remember,O,20
904,when,O,20
905,i,O,20
906,was,O,20
907,your,O,20
908,age,O,20
909,",",O,20
910,spencer,B-person,6
911,from,O,20
912,iCarly,B-tvshow,9
913,was,O,20
914,Crazy,B-person,6
915,Steve,I-person,16
916,",",O,20
917,Carly,B-person,6
918,was,O,20
919,Megan,B-person,6
920,and,O,20
921,Josh,B-person,6
922,was,O,20
923,fat,O,20
924,.,O,20
925,#damnteenquotes,O,20

926,Last,O,20
927,stop,O,20
928,of,O,20
929,the,O,20
930,day,O,20
931,thank,O,20
932,goddddd,O,20
933,(@,O,20
934,H-E-B,O,20
935,Plus,O,20
936,),O,20
937,http://4sq.com/7RDhgd,O,20

938,@itzkeving,O,20
939,im,O,20
940,getting,O,20
941,mine,O,20
942,off,O,20
943,this,O,20
944,monday,O,20
945,:',O,20
946,),O,20

947,#Fancyflow,O,20
948,..,O,20
949,im,O,20
950,in,O,20
951,the,O,20
952,hair,O,20
953,salon,O,20
954,right,O,20
955,now,O,20
956,..,O,20
957,smh,O,20
958,..,O,20
959,Friday,O,20
960,",",O,20
961,its,O,20
962,packed,O,20
963,in,O,20
964,here,O,20
965,RT,O,20
966,@neimanMarcus203,O,20
967,:,O,20
968,Where,O,20
969,is,O,20
970,@ihavesuperpower,O,20
971,???,O,20

972,@vogueglamGIRL,O,20
973,Ah,O,20
974,I,O,20
975,know,O,20
976,!,O,20
977,She,O,20
978,is,O,20
979,simply,O,20
980,the,O,20
981,best,O,20
982,in,O,20
983,The,O,20
984,Sept,O,20
985,Issue,O,20
986,.,O,20
987,My,O,20
988,boyfriend,O,20
989,'s,O,20
990,aunt,O,20
991,worked,O,20
992,for,O,20
993,Anna,B-person,6
994,Wintor,I-person,16
995,in,O,20
996,NY,O,20
997,.,O,20

998,You,O,20
999,gotta,O,20
1000,let,O,20
1001,em,O,20
1002,lick,O,20
1003,it,O,20
1004,before,O,20
1005,they,O,20
1006,stick,O,20
1007,it,O,20

1008,There,O,20
1009,'s,O,20
1010,a,O,20
1011,lot,O,20
1012,of,O,20
1013,people,O,20
1014,showing,O,20
1015,off,O,20
1016,their,O,20
1017,iPhones,B-product,7
1018,on,O,20
1019,facebook,B-company,0
1020,today,O,20
1021,",",O,20
1022,so,O,20
1023,&lt;,O,20
1024,so,O,20
1025,is,O,20
1026,at,O,20
1027,such,O,20
1028,a,O,20
1029,place,O,20
1030,",",O,20
1031,it,O,20
1032,'s,O,20
1033,really,O,20
1034,not,O,20
1035,that,O,20
1036,interesting,O,20
1037,;o,O,20
1038,),O,20

1039,@Infamous__Kid,O,20
1040,lol,O,20
1041,you,O,20
1042,always,O,20
1043,got,O,20
1044,problems,O,20
1045,with,O,20
1046,ur,O,20
1047,hair,O,20
1048,you,O,20
1049,said,O,20
1050,somethin,O,20
1051,last,O,20
1052,time,O,20
1053,like,O,20
1054,they,O,20
1055,didnt,O,20
1056,cut,O,20
1057,it,O,20
1058,right,O,20
1059,ha,O,20

1060,For,O,20
1061,code,O,20
1062,I,O,20
1063,'ve,O,20
1064,written,O,20
1065,since,O,20
1066,Sept,O,20
1067,',O,20
1068,09,O,20
1069,",",O,20
1070,the,O,20
1071,delay,O,20
1072,between,O,20
1073,commit,O,20
1074,to,O,20
1075,SCM,O,20
1076,and,O,20
1077,running,O,20
1078,on,O,20
1079,customer,O,20
1080,hardware,O,20
1081,has,O,20
1082,been,O,20
1083,about,O,20
1084,10,O,20
1085,days,O,20
1086,.,O,20

1087,AND,O,20
1088,EVERYTHING,O,20
1089,YOU,O,20
1090,STAND,O,20
1091,FOR,O,20
1092,",",O,20
1093,TURNS,O,20
1094,ON,O,20
1095,YOU,O,20
1096,TO,O,20
1097,SPITE,O,20
1098,YOU,O,20
1099,?,O,20
1100,WHAT,O,20
1101,HAPPENS,O,20
1102,WHEN,O,20
1103,YOU,O,20
1104,BECOME,O,20
1105,THE,O,20
1106,MAIN,O,20
1107,SOURCE,O,20
1108,OF,O,20
1109,HER,O,20
1110,PAIN,O,20
1111,?,O,20

1112,Yo,O,20
1113,kids,O,20
1114,!,O,20
1115,Today,O,20
1116,'s,O,20
1117,ACF,B-other,5
1118,Friday,I-other,15
1119,Large,I-other,15
1120,Group,I-other,15
1121,is,O,20
1122,at,O,20
1123,PITT,B-facility,1
1124,University,I-facility,11
1125,!,O,20
1126,It,O,20
1127,'s,O,20
1128,at,O,20
1129,Cathedral,B-facility,1
1130,of,I-facility,11
1131,Learning,I-facility,11
1132,G24,I-facility,11
1133,at,O,20
1134,7pm,O,20
1135,!,O,20
1136,Be,O,20
1137,sure,O,20
1138,to,O,20
1139,check,O,20
1140,it,O,20
1141,out,O,20
1142,!,O,20

1143,RT,O,20
1144,@WALuvsKatStacks,O,20
1145,:,O,20
1146,Ah,O,20
1147,",",O,20
1148,i,O,20
1149,asked,O,20
1150,for,O,20
1151,a,O,20
1152,follow,O,20
1153,back,O,20
1154,-,O,20
1155,when,O,20
1156,i,O,20
1157,already,O,20
1158,hadd,O,20
1159,one,O,20
1160,so,O,20
1161,they,O,20
1162,call,O,20
1163,me,O,20
1164,thirsty,O,20
1165,lmao,O,20
1166,?,O,20
1167,Fck,O,20
1168,you,O,20
1169,#teamkatstacksbitch,O,20
1170,...,O,20

1171,:(,O,20
1172,RT,O,20
1173,@themaine,O,20
1174,Who,O,20
1175,is,O,20
1176,coming,O,20
1177,to,O,20
1178,the,O,20
1179,show,O,20
1180,tomorrow,O,20
1181,in,O,20
1182,Hawaii,B-geo-loc,2
1183,?,O,20

1184,chinese,O,20
1185,food,O,20
1186,..,O,20
1187,stayin,O,20
1188,in,O,20
1189,for,O,20
1190,tonight,O,20
1191,but,O,20
1192,goin,O,20
1193,to,O,20
1194,the,O,20
1195,archery,O,20
1196,range,O,20
1197,either,O,20
1198,tomorrow,O,20
1199,or,O,20
1200,sunday,O,20

1201,@Strigy,O,20
1202,got,O,20
1203,mine,O,20
1204,in,O,20
1205,bbt,O,20
1206,aintree,B-geo-loc,2
1207,today,O,20
1208,.,O,20
1209,Played,O,20
1210,table,O,20
1211,tennis,O,20
1212,on,O,20
1213,it,O,20
1214,in,O,20
1215,store,O,20
1216,!,O,20
1217,V,O,20
1218,impressed,O,20
1219,.,O,20
1220,Did,O,20
1221,you,O,20
1222,get,O,20
1223,analogue,O,20
1224,controller,O,20
1225,2,O,20
1226,?,O,20

1227,RT,O,20
1228,@Luq_Combs,O,20
1229,:,O,20
1230,Funniest,O,20
1231,thing,O,20
1232,I,O,20
1233,heard,O,20
1234,this,O,20
1235,week,O,20
1236,.,O,20
1237,Wingo,B-person,6
1238,tellin,O,20
1239,me,O,20
1240,and,O,20
1241,wood,O,20
1242,.,O,20
1243,"""",O,20
1244,I,O,20
1245,'m,O,20
1246,scared,O,20
1247,"""",O,20
1248,#pow#pow#pow@Cowboy_Wingo,O,20

1249,Today,O,20
1250,'s,O,20
1251,cheer,O,20
1252,went,O,20
1253,from,O,20
1254,awful,O,20
1255,to,O,20
1256,awesome,O,20
1257,from,O,20
1258,the,O,20
1259,moment,O,20
1260,I,O,20
1261,realized,O,20
1262,I,O,20
1263,did,O,20
1264,not,O,20
1265,have,O,20
1266,class,O,20
1267,today,O,20
1268,.,O,20

1269,Time,B-company,0
1270,Warner,I-company,10
1271,Cable,I-company,10
1272,Boycotting,O,20
1273,Epix,B-other,5
1274,Movie,I-other,15
1275,Channel,I-other,15
1276,Because,O,20
1277,It,O,20
1278,Did,O,20
1279,A,O,20
1280,Deal,O,20
1281,With,O,20
1282,Netflix,B-company,0
1283,http://dlvr.it/5RgcL,O,20

1284,Fresh,O,20
1285,out,O,20
1286,the,O,20
1287,psych,O,20
1288,ward,O,20
1289,today,O,20

1290,Today,O,20
1291,was,O,20
1292,awesome,O,20
1293,",",O,20
1294,I,O,20
1295,finally,O,20
1296,get,O,20
1297,to,O,20
1298,relax,O,20
1299,:),O,20

1300,My,O,20
1301,#twitter,O,20
1302,age,O,20
1303,is,O,20
1304,458,O,20
1305,days,O,20
1306,0,O,20
1307,hours,O,20
1308,3,O,20
1309,minutes,O,20
1310,49,O,20
1311,seconds,O,20
1312,.,O,20
1313,Find,O,20
1314,out,O,20
1315,yours,O,20
1316,at,O,20
1317,http://twitter.seocoder.org/,O,20
1318,#twittertime,O,20

1319,What,O,20
1320,is,O,20
1321,it,O,20
1322,with,O,20
1323,people,O,20
1324,and,O,20
1325,punctuality,O,20
1326,?,O,20
1327,I,O,20
1328,used,O,20
1329,to,O,20
1330,be,O,20
1331,that,O,20
1332,guy,O,20
1333,and,O,20
1334,honestly,O,20
1335,",",O,20
1336,it,O,20
1337,'s,O,20
1338,a,O,20
1339,haze,O,20
1340,now,O,20
1341,.,O,20
1342,Just,O,20
1343,be,O,20
1344,on,O,20
1345,time,O,20
1346,.,O,20
1347,It,O,20
1348,'s,O,20
1349,not,O,20
1350,like,O,20
1351,its,O,20
1352,a,O,20
1353,surprise,O,20
1354,.,O,20

1355,After,O,20
1356,I,O,20
1357,pet,O,20
1358,a,O,20
1359,kitten,O,20
1360,on,O,20
1361,JFK,B-person,6
1362,",",O,20
1363,the,O,20
1364,owners,O,20
1365,informed,O,20
1366,me,O,20
1367,it,O,20
1368,'s,O,20
1369,',O,20
1370,double-pawed,O,20
1371,',O,20
1372,(,O,20
1373,polydactyl),O,20
1374,",",O,20
1375,which,O,20
1376,is,O,20
1377,"""",O,20
1378,a,O,20
1379,form,O,20
1380,of,O,20
1381,retardation,O,20
1382,in,O,20
1383,the,O,20
1384,animal,O,20
1385,kingdom,O,20
1386,"""",O,20

1387,Soulja,B-person,6
1388,Boy,I-person,16
1389,|,O,20
1390,TheDeAndreWay,O,20
1391,.,O,20
1392,com,O,20
1393,-,O,20
1394,The,O,20
1395,DeAndre,O,20
1396,Way,O,20
1397,in,O,20
1398,stores,O,20
1399,Nov,O,20
1400,.,O,20
1401,2,O,20
1402,",",O,20
1403,2010,O,20
1404,http://t.co/woAiLlZ,O,20
1405,via,O,20
1406,@SouljaBoy,O,20

1407,About,O,20
1408,online,O,20
1409,dietician,O,20
1410,:,O,20
1411,A,O,20
1412,thinner,O,20
1413,stool,O,20
1414,than,O,20
1415,usual,O,20
1416,can,O,20
1417,be,O,20
1418,identified,O,20
1419,and,O,20
1420,removed,O,20
1421,before,O,20
1422,they,O,20
1423,get,O,20
1424,are,O,20
1425,2,O,20
1426,weeks,O,20
1427,ago,O,20
1428,J,O,20
1429,...,O,20
1430,http://bit.ly/cYGBdz,O,20

1431,RT,O,20
1432,@RMBWilliams,O,20
1433,:,O,20
1434,Here,O,20
1435,in,O,20
1436,DC,B-geo-loc,2
1437,!,O,20
1438,About,O,20
1439,to,O,20
1440,get,O,20
1441,some,O,20
1442,rest,O,20
1443,!,O,20
1444,Looking,O,20
1445,forward,O,20
1446,to,O,20
1447,tonight,O,20
1448,!,O,20
1449,Yes-sir,O,20
1450,!,O,20

1451,RT,O,20
1452,@twitter,O,20
1453,:,O,20
1454,#AskEv,O,20
1455,your,O,20
1456,big,O,20
1457,questions,O,20
1458,about,O,20
1459,the,O,20
1460,new,O,20
1461,Twitter,B-company,0
1462,.,O,20
1463,com,O,20
1464,today,O,20
1465,at,O,20
1466,1pm,O,20
1467,PST,O,20
1468,.,O,20
